StartDate,EndDate,IPAddress,Progress,Duration (in seconds),Finished,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,da_con_trust,da_lib_trust,ra_con_trust,ra_lib_trust,da_con_gender,da_lib_gender,ra_con_gender,ra_lib_gender,da_con_race,da_lib_race,ra_con_race,ra_lib_race,da_con_emo,da_lib_emo,ra_con_emo,ra_lib_emo,da_con_threat,da_lib_threat,ra_con_threat,ra_lib_threat,age,sex,race,data_use,mTurkCode
10/18/2017 21:05,10/18/2017 21:05,69.242.182.26,100,36,1,R_3MzXtGfi5OhZCPk,39.00500488,-94.24990082,anonymous,5,6,7,4,5,6,7,8,7,8,9,7,7,8,7,8,9,8,9,6,20,2,1,4,5474007199
10/18/2017 21:06,10/18/2017 21:07,73.25.182.21,100,73,1,R_3oZ3cBA4NsAHKw6,44.90159607,-122.9223022,anonymous,7,7,3,7,7,6,3,7,3,3,2,2,7,6,2,6,4,4,4,3,24,2,4,4,3789878092
10/18/2017 21:06,10/18/2017 21:09,40.142.208.183,100,139,1,R_1KeeCjPeylgdRIW,41.0401001,-79.51180267,anonymous,6,6,3,6,6,6,5,6,2,2,2,6,7,7,5,6,1,6,8,1,33,2,1,4,1416690252
10/18/2017 21:09,10/18/2017 21:10,73.200.235.170,100,89,1,R_3s4eIAB938cXyAh,38.895401,-77.02970123,anonymous,7,7,5,7,8,8,7,8,4,3,3,3,6,8,2,7,3,8,3,2,31,1,1,3,2952936082
10/18/2017 21:08,10/18/2017 21:10,207.181.207.19,100,133,1,R_2o9xIVkzs0tOklH,41.92880249,-87.63150024,anonymous,6,6,4,7,7,7,6,7,3,3,2,3,6,6,4,6,3,3,4,3,34,1,1,4,6779187377
10/18/2017 21:09,10/18/2017 21:11,24.159.120.204,100,116,1,R_21Bwc1TZZlXBZPf,33.95620728,-83.98799896,anonymous,8,8,4,9,9,9,1,8,1,1,1,1,9,9,1,9,1,1,8,1,40,2,2,4,6402868857
10/18/2017 21:10,10/18/2017 21:11,74.196.102.250,100,106,1,R_6Ej2Jmv4Tzf0C5P,35.959198,-96.75540161,anonymous,5,7,3,8,5,8,5,8,8,3,1,5,9,1,3,8,5,2,6,4,42,2,1,4,3711484824
10/18/2017 21:10,10/18/2017 21:12,24.17.39.56,100,110,1,R_QmPTHcOxoPkcf0l,47.38240051,-122.313797,anonymous,4,7,4,6,8,8,1,7,3,3,1,2,5,8,3,5,4,5,8,3,40,2,1,4,1411850220
10/18/2017 21:14,10/18/2017 21:18,68.68.158.94,100,258,1,R_27wH8GQ2PPrdaYo,39.47450256,-95.69550323,anonymous,8,8,5,8,8,8,2,8,2,2,1,2,8,9,2,8,2,2,2,1,55,2,1,4,6150800548
10/18/2017 22:40,10/18/2017 22:43,24.26.1.187,100,147,1,R_W9HfZFjfDoSYQ37,37.75549316,-87.04340363,anonymous,6,6,1,5,6,1,1,1,5,3,3,4,4,5,3,6,1,1,9,1,30,1,1,4,1962832539
10/18/2017 22:41,10/18/2017 22:44,107.204.106.76,100,174,1,R_24OV9rFjvcpfTYj,34.30209351,-118.7207947,anonymous,8,8,5,8,8,8,3,8,2,2,2,2,1,8,3,8,2,2,6,1,39,2,1,4,5335633685
10/18/2017 22:42,10/18/2017 22:44,173.91.223.100,100,139,1,R_3e4Xdytt6AG4BBE,41.13340759,-80.61190033,anonymous,7,7,4,7,6,7,4,6,2,2,1,2,5,6,4,7,5,3,8,7,39,1,1,4,1541403984
10/18/2017 22:44,10/18/2017 22:46,174.64.160.193,100,107,1,R_DJ0eDsVD5XLj2Y9,30.02980042,-91.73049927,anonymous,8,9,1,8,8,7,1,6,1,1,1,1,9,8,1,6,1,3,9,1,32,1,1,4,9745527496
10/18/2017 22:45,10/18/2017 22:47,68.2.34.164,100,131,1,R_ABW849BNTfNoZrz,33.59620667,-112.1771011,anonymous,6,6,3,6,7,8,3,8,1,1,1,1,7,8,4,7,2,1,6,1,46,1,1,4,7503975285
10/18/2017 22:44,10/18/2017 22:48,68.204.84.181,100,215,1,R_2WMfDEXSm3J3h2H,28.47680664,-81.63189697,anonymous,6,5,4,5,6,6,4,5,6,4,3,5,5,6,4,5,6,5,7,5,58,2,1,4,5290907226
10/18/2017 22:48,10/18/2017 22:49,23.243.118.47,100,101,1,R_2VfGbb89kqbIIiv,34.08810425,-117.464798,anonymous,6,7,1,7,9,9,1,9,3,5,1,5,7,4,1,8,3,2,9,3,37,2,1,4,6193665769
10/18/2017 22:48,10/18/2017 22:52,23.162.0.63,100,225,1,R_1oBe0SIAoUGzpTy,36.29420471,-116.0988007,anonymous,6,5,3,6,9,9,1,9,2,2,2,1,5,5,1,4,3,3,9,3,38,2,1,4,7008176711
10/18/2017 22:57,10/18/2017 22:59,216.67.52.170,100,155,1,R_1q8q2ps9cyq9KQl,61.17770386,-149.6383972,anonymous,7,7,5,7,7,7,3,7,2,3,2,3,6,7,4,7,2,2,5,2,28,2,1,4,9928060467
10/19/2017 0:12,10/19/2017 0:13,74.177.188.18,100,70,1,R_1P0eH81ZbwFxTnh,36.07139587,-79.76789856,anonymous,4,2,4,9,7,9,1,9,3,1,1,7,6,3,7,3,3,6,9,1,36,2,2,4,1166947582
10/19/2017 0:12,10/19/2017 0:14,24.112.107.144,100,119,1,R_11jdQldD7h7Zk50,31.21769714,-82.34290314,anonymous,5,7,3,7,6,9,1,9,3,1,1,7,7,9,1,9,3,1,6,2,38,2,1,4,6042831507
10/19/2017 0:12,10/19/2017 0:14,75.26.236.254,100,139,1,R_qxWnuHtvw4MoUSt,42.085495,-87.8246994,anonymous,5,5,4,5,8,8,2,8,3,3,2,3,4,4,1,4,5,4,9,5,32,1,4,3,7542746737
10/19/2017 0:12,10/19/2017 0:15,70.119.158.7,100,141,1,R_2z5SkHlIpprTcsL,33.00349426,-96.90000153,anonymous,7,6,5,6,8,6,3,7,2,2,2,2,6,6,4,6,3,3,6,3,22,2,3,4,6382293394
10/19/2017 0:12,10/19/2017 0:15,107.15.241.1,100,153,1,R_3q8NP5wWjVE850G,35.9954071,-78.90190125,anonymous,7,8,5,8,8,6,2,8,4,4,3,4,5,7,3,7,2,2,4,3,61,2,1,4,4263729714
10/19/2017 0:14,10/19/2017 0:15,108.46.62.239,100,80,1,R_0rEAZDGeXOH9uVz,40.76370239,-73.77249908,anonymous,5,5,8,5,9,9,1,9,1,1,1,1,6,5,1,6,3,3,7,2,35,1,4,4,3711584010
10/19/2017 0:13,10/19/2017 0:15,70.171.227.8,100,150,1,R_bsGynQQ0GYUSdSV,33.24789429,-111.7894974,anonymous,5,5,3,4,7,7,3,7,3,3,2,4,5,5,2,6,4,6,2,4,34,1,1,3,3055418469
10/19/2017 0:21,10/19/2017 0:24,71.12.5.216,100,178,1,R_2tL7xMt41C0wQkM,34.99650574,-82.3286972,anonymous,5,7,3,7,9,9,1,9,1,7,1,2,5,7,3,7,5,1,2,5,38,1,1,4,1293620658
10/19/2017 1:53,10/19/2017 1:55,98.236.190.202,100,123,1,R_3eqJYtY3BH38nem,40.46809387,-79.91139984,anonymous,6,5,1,7,7,3,1,7,3,3,1,3,5,6,1,7,3,3,9,3,65,2,1,4,531528700
10/19/2017 1:53,10/19/2017 1:55,196.135.101.64,100,132,1,R_1kFwbM9FMYpUiKQ,30.07710266,31.28590393,anonymous,5,5,6,5,9,5,1,8,6,5,1,3,7,6,3,7,1,1,4,2,34,2,1,4,371539211
10/19/2017 1:55,10/19/2017 1:57,96.234.170.51,100,86,1,R_3NUpBDgvwZbEivB,38.82640076,-76.55740356,anonymous,4,3,1,3,7,4,1,7,5,2,4,3,4,6,1,7,3,2,9,2,26,1,1,4,3565754760
10/19/2017 2:01,10/19/2017 2:02,72.211.108.14,100,109,1,R_3EXql98Qq0fdLni,29.97360229,-90.08570099,anonymous,8,8,7,8,9,9,9,1,5,1,1,9,7,9,4,9,8,3,4,6,32,1,1,4,8580853068
10/19/2017 2:00,10/19/2017 2:04,172.75.56.99,100,217,1,R_2VPwkaXTATUZCd7,33.09750366,-80.1753006,anonymous,4,4,1,5,3,4,1,4,1,1,1,1,5,5,1,5,4,4,9,5,38,1,2,4,1059464417
10/19/2017 2:04,10/19/2017 2:08,96.37.9.198,100,190,1,R_22MkFUDqw26cIbJ,36.02000427,-75.66989899,anonymous,5,5,4,5,9,9,1,8,5,4,1,6,5,5,2,6,3,3,6,1,47,2,1,3,9371994426
10/19/2017 2:23,10/19/2017 2:26,104.5.125.163,100,177,1,R_2TZaidDqrHoEOA6,37.21899414,-93.31759644,anonymous,5,7,4,5,6,7,2,6,6,5,4,5,7,5,1,7,3,2,7,2,23,2,1,4,8016576213
10/19/2017 2:57,10/19/2017 2:58,107.77.193.212,100,90,1,R_Dq79QTLU6E2R3KF,42.46510315,-82.94409943,anonymous,7,4,2,6,4,6,3,9,4,4,1,1,7,6,3,8,4,6,9,7,22,2,1,4,6287390622
10/19/2017 2:57,10/19/2017 2:59,66.176.84.192,100,112,1,R_3lyM0Tgq5O9wkaA,27.24980164,-80.37969971,anonymous,5,5,5,5,8,8,2,8,2,2,2,2,5,5,5,7,5,1,5,1,28,1,4,4,893634893
